Pipeline,Type,Jar,Path,core_tokenizer,pos_tagger,chunker,dependency_parser,constituency_parser,fast_dictionary,classic_dictionary,drug_ner,ne_contexts,assertion,relation_extractor,coreference,temporal,template_filler,smoking_status,side_effect,context_tokenizer,preprocessor,writers
TsSectionedTemporalCorefPipeline.piper,full,ctakes-coreference-6.0.0.jar,org/apache/ctakes/coreference/pipeline/TsSectionedTemporalCorefPipeline.piper,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
TsSectionedTemporalPipeline.piper,full,ctakes-temporal-6.0.0.jar,org/apache/ctakes/temporal/pipeline/TsSectionedTemporalPipeline.piper,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
ChunkerSubPipe.piper,sub,ctakes-chunker-6.0.0.jar,org/apache/ctakes/chunker/pipeline/ChunkerSubPipe.piper,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DefaultTokenizerPipeline.piper,sub,ctakes-core-6.0.0.jar,org/apache/ctakes/core/pipeline/DefaultTokenizerPipeline.piper,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DictionarySubPipe.piper,sub,ctakes-dictionary-lookup-fast-6.0.0.jar,org/apache/ctakes/dictionary/lookup/fast/pipeline/DictionarySubPipe.piper,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
I2b2JdbcWriter.piper,sub,ctakes-core-6.0.0.jar,org/apache/ctakes/core/cc/jdbc/I2b2JdbcWriter.piper,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
RelationSubPipe.piper,sub,ctakes-relation-extractor-6.0.0.jar,org/apache/ctakes/relation/extractor/pipeline/RelationSubPipe.piper,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
TemporalSubPipe.piper,sub,ctakes-temporal-6.0.0.jar,org/apache/ctakes/temporal/pipeline/TemporalSubPipe.piper,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
TsChunkerSubPipe.piper,sub,ctakes-chunker-6.0.0.jar,org/apache/ctakes/chunker/pipeline/TsChunkerSubPipe.piper,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TsDefaultTokenizerPipeline.piper,sub,ctakes-core-6.0.0.jar,org/apache/ctakes/core/pipeline/TsDefaultTokenizerPipeline.piper,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TsTemporalSubPipe.piper,sub,ctakes-temporal-6.0.0.jar,org/apache/ctakes/temporal/pipeline/TsTemporalSubPipe.piper,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
AdvancedClinicalToFhir.piper,example,ctakes-examples-6.0.0.jar,org/apache/ctakes/examples/pipeline/AdvancedClinicalToFhir.piper,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
ApacheConDemoBasic.piper,example,ctakes-examples-6.0.0.jar,org/apache/ctakes/examples/pipeline/ApacheConDemoBasic.piper,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
